company_name,website
Sunbelt Cart Company,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/sunbelt-cart-company/index.html
Harbor Point Golf Carts,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/harbor-point-golf-carts/index.html
Pinecrest Cart Service,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/pinecrest-cart-service/index.html
Lakeside LSV Center,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/lakeside-lsv-center/index.html
Dunes Electric Vehicles,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/dunes-electric-vehicles/index.html
Riverbend Cart Repair,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/riverbend-cart-repair/index.html
Magnolia Golf Cars,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/magnolia-golf-cars/index.html
Summit Ridge Carts,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/summit-ridge-carts/index.html
Bayview Cart Works,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/bayview-cart-works/index.html
Red Clay Cart Co,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/red-clay-cart-co/index.html
Northshore Neighborhood EV,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/northshore-neighborhood-ev/index.html
Titan Cart Parts Wholesale,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/titan-cart-parts-wholesale/index.html
Apex Aftermarket Distributors,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/apex-aftermarket-distributors/index.html
Cascade Auto Group,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/cascade-auto-group/index.html
Fairfield Family Dentistry,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/fairfield-family-dentistry/index.html
Old Town Carts,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/old-town-carts/index.html
Vista Cart Sales,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/vista-cart-sales/index.html
Maple Ridge Golf Carts,file:///Users/krishpatel/Desktop/AI_Agent/fixtures/maple-ridge-golf-carts/index.html
